Item,Serving Size,Calories,Calories from Fat (kcal),Fat (g),Saturated Fat (g),Trans Fatty Acid (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Total Dietary Fiber (g),Total Sugars (g),Protein (g)
Mac & Cheese - Group,1 Container,1840,1030,115,70,3,310,4590,134,0,21,66
Mango Yuzu Citrus Flavored Charged Lemonade - Serves 10 - Group,2 Containers,2220,25,3,0.5,0,0,70,544,2,518,3
Mango Yuzu Citrus Flavored Charged Lemonade - Serves 5 - Group,1 Container,1110,15,1.5,0,0,0,35,272,1,259,1
Mexican Style Street Corn Chowder - Group,1 container,750,390,44,21,1,100,3190,81,7,16,14
Passion Papaya Flavored Green Tea - Serves 10 - Group,2 Containers,880,0,0,0,0,0,135,220,0,219,0
Premium Orange Juice - Serves 10 - Group,2 Containers,1800,0,0,3,0,0,60,408,0,360,33
Premium Orange Juice - Serves 5 - Group,2 Containers,900,0,0,1.5,0,0,30,204,0,180,17
Seasonal Greens - Half,1/2 Salad,140,110,13,2,0,0,160,6,2,3,2
Seasonal Greens - Whole,1 Salad,290,230,25,3.5,0,0,320,13,4,6,4
Seasonal Greens with Chicken- Half,1/2 Salad,200,120,14,2,0,35,370,8,2,3,11
Seasonal Greens with Chicken - Whole,1 Salad,390,250,28,4,0,70,750,16,4,6,22
Sierra Turkey Sandwich on Asiago Cheese Focaccia - Half,1/2 Sandwich,400,150,17,4,0,40,890,43,2,2,20
Sierra Turkey Sandwich on Asiago Cheese Focaccia - Whole,1 Sandwich,800,300,33,8,0,80,1780,85,4,5,40
Steak & Arugula on Country Rustic Sourdough - Half,1/2 Sandwich,360,140,16,3.5,0,45,560,37,2,4,17
Steak & Arugula on Country Rustic Sourdough - Whole,1 Sandwich,710,280,31,7,0,85,1120,73,4,8,35
Strawberry Lemon Mint Flavored Charged Lemonade - Serves 10 - Group,2 Containers,1810,20,2.5,0,0,0,70,446,1,416,3
Strawberry Lemon Mint Flavored Charged Lemonade - Serves 5 - Group,1 Container,910,10,1,0,0,0,35,223,0,208,1
Sweet Tea - Serves 10 - Group,2 Containers,680,1,0,0,0,0,75,163,0,161,14
Thai Chicken Soup - Group,1 Container,540,290,32,26,0,50,2530,37,8,11,25
Tropical Hibiscus Tea - Serves 10 - Group,2 Containers,0,0,0,0,0,0,0,0,0,0,0
Ten Vegetable Soup - Group,1 Container,220,40,4.5,1,0,0,2550,36,9,13,11
Vegetarian Creamy Tomato Soup - Group,1 Container,850,450,50,27,1.5,135,2660,86,3,39,14
